chrom	start	end	weight	GC	E1
chr1	0	500000			
chr1	500000	1000000			
chr1	1000000	1500000			
chr1	1500000	2000000			
chr1	2000000	2500000			
chr1	2500000	3000000			
chr1	3000000	3500000	0.005051807071228375	0.3863301610585739	0.20584285210971862
chr1	3500000	4000000	0.005119623785340518	0.387474	0.1964965617638566
chr1	4000000	4500000	0.005102568260937391	0.390548	0.36566185970947257
chr1	4500000	5000000	0.005027041957830361	0.410256	0.5265697143728343
chr1	5000000	5500000	0.0050255693825164175	0.400804	0.29702476281370255
chr1	5500000	6000000	0.004851131524511309	0.387562	0.1403882997037909
chr1	6000000	6500000	0.004809400906221803	0.399466	0.2846354876166602
chr1	6500000	7000000	0.0045884621344084685	0.39082	0.125477073537429
chr1	7000000	7500000	0.004990777121283497	0.398422	0.12065620867367449
chr1	7500000	8000000	0.005224376039987949	0.38529	0.06679137336363403
chr1	8000000	8500000	0.005542450054382673	0.38151	0.06308417941717784
chr1	8500000	9000000	0.004973825821970889	0.381416	0.06946112224334854
chr1	9000000	9500000	0.004721588204597105	0.38685	0.2151866201137732
chr1	9500000	10000000	0.004901558659469628	0.412256	0.80614354865514
chr1	10000000	10500000	0.005471659214804646	0.399916	0.719465583464769
chr1	10500000	11000000	0.004591703851812795	0.40056	0.18048504672257104
chr1	11000000	11500000	0.004853223431516995	0.388552	0.056344792326843425
chr1	11500000	12000000	0.005292057213039048	0.386586	-0.0033286089172669536
chr1	12000000	12500000	0.004555638749554545	0.390078	0.009120703540955484
chr1	12500000	13000000	0.004884733918876364	0.420816	0.35417346751144435
chr1	13000000	13500000	0.004807559774041228	0.438754	0.6952275981481326
chr1	13500000	14000000	0.004970283489110575	0.419836	0.29895240629821973
chr1	14000000	14500000	0.004782213427533816	0.406224	0.11581256684759073
chr1	14500000	15000000	0.004672749034868801	0.403128	-0.1810255562459155
chr1	15000000	15500000	0.005124468170174505	0.398798	-0.4228603866406756
chr1	15500000	16000000	0.004149727337408723	0.40993	0.11438786612127676
chr1	16000000	16500000	0.0047682583287329845	0.41901	0.19323985994333276
chr1	16500000	17000000	0.0048347005077845106	0.415316	0.2782370755438482
chr1	17000000	17500000	0.004902050796367547	0.392622	-0.19191806788508292
chr1	17500000	18000000	0.004954562729187415	0.3832	-0.44070285310423296
chr1	18000000	18500000	0.004973350439872505	0.379674	-0.4966930507301845
chr1	18500000	19000000	0.004965662445229125	0.382122	-0.4788087877651628
chr1	19000000	19500000	0.0049630191442006566	0.395182	-0.3120139263826107
chr1	19500000	20000000	0.00507500144261331	0.3849	-0.5417448240161764
chr1	20000000	20500000	0.005109162236481517	0.391746	-0.4234967644420243
chr1	20500000	21000000	0.004988026906484867	0.425278	0.2105012967411797
chr1	21000000	21500000	0.004649279077672122	0.430658	-0.0831603017978175
chr1	21500000	22000000	0.004980848747600074	0.384076	-0.673711362194093
chr1	22000000	22500000	0.005485920566942278	0.3894522326843213	-0.4593396858953935
chr1	22500000	23000000	0.004746092363943198	0.390878	-0.6735391123401909
chr1	23000000	23500000	0.005046626244826322	0.400228	-0.2991311877917374
chr1	23500000	24000000	0.0050826920791439325	0.413832	0.1359248664592906
chr1	24000000	24500000	0.005035720385434662	0.399544	0.21929204095485846
chr1	24500000	25000000	0.004727404643876051	0.398648	-0.0990291160546636
chr1	25000000	25500000	0.0051647603536595955	0.383528	-0.6369018562709139
chr1	25500000	26000000	0.0054292021401330295	0.372756745513491	-0.7869377932623761
chr1	26000000	26500000	0.0050013526340767335	0.37267	-0.6438627945360738
chr1	26500000	27000000	0.0046676278426992235	0.36782	-0.22970629520891558
chr1	27000000	27500000	0.005160140135356129	0.369018	-0.32225612022808986
chr1	27500000	28000000	0.004581714034658122	0.361722	-0.5194169945725138
chr1	28000000	28500000	0.004994383456154928	0.366014	-0.6382166184071314
chr1	28500000	29000000	0.004924170286157572	0.358122	-0.28421849796818804
chr1	29000000	29500000	0.004944625786107772	0.360398	-0.698368195003962
chr1	29500000	30000000	0.00548127667299712	0.37449	-0.5603044727062686
chr1	30000000	30500000	0.00502616852271515	0.378802	-0.5200841968460497
chr1	30500000	31000000	0.005049521030691145	0.404458	0.07625713353580228
chr1	31000000	31500000	0.0049516565994407	0.394172	0.14880951811011225
chr1	31500000	32000000	0.005268891359679857	0.37613	-0.6074683563510531
chr1	32000000	32500000	0.005240657399147906	0.375254	-0.7943450457570398
chr1	32500000	33000000	0.005293741872356007	0.384808	-0.6003335164456823
chr1	33000000	33500000	0.0048565716837428085	0.401712	-0.2423220766597876
chr1	33500000	34000000	0.004948917951813565	0.431266	0.6972168382456926
chr1	34000000	34500000	0.005048990825581513	0.443074	0.7290404843947881
chr1	34500000	35000000	0.004880121039922823	0.458604	0.6526884622440908
chr1	35000000	35500000	0.005062802685421656	0.431528	0.3630991022553624
chr1	35500000	36000000	0.004833527437305167	0.446324	0.5823137509899364
chr1	36000000	36500000	0.005128040464342042	0.47192	0.9540032993234167
chr1	36500000	37000000	0.005316128692410392	0.471184	1.12072403347789
chr1	37000000	37500000	0.004838311974137282	0.456984	0.9977134139276902
chr1	37500000	38000000	0.005232706859349064	0.44085	0.9917070192290354
chr1	38000000	38500000	0.0049439199503559655	0.434202	0.7857011013691176
chr1	38500000	39000000	0.004925594729527373	0.445192	0.5281133275284077
chr1	39000000	39500000	0.004585961049988681	0.46091	0.6832733647419853
chr1	39500000	40000000	0.005063750562180752	0.454	0.7211519001015805
chr1	40000000	40500000	0.004863287362139371	0.437468	0.19541984994729092
chr1	40500000	41000000	0.004775608420481649	0.426368	-0.06283475024006577
chr1	41000000	41500000	0.0049653657100242115	0.400418	-0.6171397015981602
chr1	41500000	42000000	0.005071887066539358	0.380202	-0.984245284067293
chr1	42000000	42500000	0.005181010159983688	0.407508	-0.6888895724609913
chr1	42500000	43000000	0.004643792050956351	0.42987	0.03233801073093988
chr1	43000000	43500000	0.004756158990058662	0.435614	0.1882059343673437
chr1	43500000	44000000	0.00473763967029512	0.414234	0.345270890092642
chr1	44000000	44500000	0.005254379178752366	0.398276	-0.040954858928725954
chr1	44500000	45000000	0.005132884325129455	0.379786	-0.7495175834481659
chr1	45000000	45500000	0.0013661954227451923	0.374956	-0.274956232526773
chr1	45500000	46000000	0.0048026388719902766	0.394276	-0.4528367504697414
chr1	46000000	46500000	0.006067400156667529	0.3997	0.6231442710256935
chr1	46500000	47000000	0.0057521486059512955	0.396674	0.30615158143125404
chr1	47000000	47500000	0.0051948127181444086	0.381606	-0.7227425564394435
chr1	47500000	48000000	0.005492359158496879	0.371714	-0.8466659841045501
